G5	HP USB-C Dock G5	HP	15	648.45	0	648.45	648.45	64.85
20WNS6LL00	Re-ware Refurbished Lenovo - T14s I5-102IOU@1.6GHZ, 256 SSD, 8GB RAM, TOUCHSCREEN, WAN ENABLED	Lenovo	1	272.73	0	272.73	72.73	27.27
20W4004TAU	Re-ware Refurbished Lenovo - T15 I7 @2.8GHZ, 512GB SSD, 16GB RAM, TOUCHSCREEN, WAN ENABLED - Numeric Keypad	Lenovo	1	367.65	0	367.65	317.65	36.77
11T300A1AU	Re-ware Refurbished - Lenovo ThinkCentre M70q Gen 3 11T300A1AU Desktop Computer - Intel Core i7 12th Gen i7-12700T - 16 GB - 512 GB SSD - Tiny - Black	Lenovo	1	426.86	0	426.86	-553.14	42.69
G5	HP USB-C Dock G5	HP	1	107.88	0	107.88	107.88	10.79
11T300A1AU	Re-ware Refurbished - Lenovo ThinkCentre M70q Gen 3 11T300A1AU Desktop Computer - Intel Core i7 12th Gen i7-12700T - 16 GB - 512 GB SSD - Tiny - Black	Lenovo	1	506.94	0	506.94	-473.06	50.69
RW-20WNA07YAU	Lenovo T14s Gen 2i, i5-1135G7 @ 2.40GHz, 16Gb, 256Gb	Lenovo	1	272.73	0	272.73	247.73	27.27
20NYS4CP00	Re-ware Refurbished Lenovo - T490s I5 8265U @ 1.6GHz, 8GB RAM, 256SSD, TOUCH SCREEN, WAN ENABLED	Lenovo	1	145.45	0	145.45	95.45	14.55
G5	HP USB-C Dock G5	HP	1	94.51	0	94.51	94.51	9.45
Elite Mini 600 G9	HP Elite Mini 600 G9 512GB SSD, i7-12700T, 16GB RAM	HP	1	477.98	0	477.98	477.98	47.8
30BFS6AQ00	Re-ware Lenovo P520 Workstation	Lenovo	1	272.73	0	272.73	252.73	27.27
20W4004TAU	Re-ware Refurbished Lenovo - T15 I7 @2.8GHZ, 512GB SSD, 16GB RAM, TOUCHSCREEN, WAN ENABLED - Numeric Keypad	Lenovo	1	394.93	0	394.93	344.93	39.49
20W4004TAU	Re-ware Refurbished Lenovo - T15 I7 @2.8GHZ, 512GB SSD, 16GB RAM, TOUCHSCREEN, WAN ENABLED - Numeric Keypad	Lenovo	1	428.21	0	428.21	378.21	42.82
40AF0135AU -2	Re-ware Lenovo Hybrid USB-C Dock USB, USB 3.1 Type C, USB Type C	Lenovo	1	40.17	0	40.17	40.17	4.02
970 EVO Plus	Samsung 970 EVO Plus 500GB	Samsung	1	107.88	0	107.88	107.88	10.79
20WNS6LL00	Re-ware Refurbished Lenovo - 11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz, 256 SSD, 16GB RAM, TOUCHSCREEN, WAN ENABLED	Lenovo	3	816.81	0	816.81	666.81	81.68
CCITREWAREBAG	Co-Creative IT & Re-Ware Lenovo backpack	Co-Creative IT	1	25	0	25	25	2.5
20NYS4CP00	Re-ware Refurbished Lenovo - T490s I5 8265U @ 1.6GHz, 8GB RAM, 256SSD, TOUCH SCREEN, WAN ENABLED	Lenovo	1	145.45	0	145.45	95.45	14.55
RW-20WNA07YAU	Re-ware Refurbished - Lenovo T14s Gen 2i, i5-1135G7 @ 2.40GHz, 16Gb, 256Gb	Lenovo	1	313.64	0	313.64	313.64	31.36
RW-20WNA07YAU	Re-ware Refurbished - Lenovo T14s Gen 2i, i5-1135G7 @ 2.40GHz, 16Gb, 256Gb	Lenovo	1	313.64	0	313.64	313.64	31.36
22C450	dual 24" Samsung S22c450 monitor bundle with HP G4 Dock	Samsung	1	110	0	110	110	11
mtm7654	Re-ware Wired keyboard	Lenovo	1	5	0	5	5	0.5
mouse	Re-ware wired mouse	Lenovo	1	5	0	5	5	0.5
RW-20WNA07YAU	Re-ware Refurbished Lenovo T14s Gen 2i, i5-1135G7 @ 2.40GHz, 16Gb, 256Gb	Lenovo	1	280	0	280	280	28
S24E450	Dual 24 Monitor Bundle 2 x Dell 24" monitors, HP G4 D USB-C dock, all cables	Samsung	1	150	0	150	130	15
S24E450	Dual 24 Monitor Bundle 2 x Samsung S24e450 24" monitors, HP G4 D USB-C dock, all cables	Samsung	1	110	0	110	90	11
22C450	dual 22" Samsung S22c450 monitor bundle with HP G4 Dock	Samsung	2	220	0	220	220	22
CCIT0001	Service - 1 Hour	Co-Creative IT	1	50	0	50	30	5
hybrid USB-C dock	lenovo dock upgrade	Lenovo	1	26.36	0	26.36	26.36	2.64
RW-20WNA07YAU	Re-ware Refurbished - Lenovo T14s Gen 2i, i5-1135G7 @ 2.40GHz, 16Gb, 256Gb	Lenovo	1	313.64	0	313.64	313.64	31.36
20W4004TAU	Re-ware Refurbished Lenovo T15 I7 @2.8GHZ, 512GB SSD, 16GB RAM, TOUCHSCREEN, WAN ENABLED - Numeric Keypad	Lenovo	1	363.64	0	363.64	363.64	36.36
RW-32UN550-W	LG 32" 4K LED Monitor	LG	2	140	0	140	140	14
COMSPEAKERS	Computer speakers	LG	1	14.54	0	14.54	14.54	1.45
20W4004TAU	Re-ware Refurbished Lenovo T15 I7 @2.8GHZ, 512GB SSD, 16GB RAM, TOUCHSCREEN, WAN ENABLED - Numeric Keypad	Lenovo	1	363.64	0	363.64	363.64	36.36
F24T450FQEXXY	Samsung 24" F24T450FQ USB hub 1080P WIFI, 2 x HDMI, Display port	Samsung	4	200	0	200	200	20
20WNS6LL00	Re-ware Refurbished Lenovo - T14s i5-1135G7 @ 2.40GHz 256 SSD, 16GB RAM, TOUCHSCREEN, WAN ENABLED	Lenovo	1	300	0	300	250	30
