code,name,price,on_hand,serial_count,serials,brand,series,cpu,ram,storage,main_image,public_cats
DELL LATITUDE 5590-16G-256G-N,Dell Latitude 5590,200.0,5.0,5,60T1QQ2;82T1QQ2;4MWWMV2;B7H8NV2;CYPWMV2,Dell,Dell 5590,i5-8250U,16GB,256GB SSD,True,Laptops
FZ-55C0018VA,001,400.0,1.0,1,0HTSA62413,Panasonic,Toughbook,i5-8365U,8GB,500GB SSD,True,Laptops
LAT3301,Dell Latitude 3301,170.0,0.0,0,,Dell,Dell 3301,i7-8565U,8GB,512GB SSD,True,Laptops
LATE7470,Dell E7470,100.0,2.0,2,S/N-LATE7470-001;S/N-LATE7470-002,Lenovo,Dell E7470,i5-6200U,8GB,256GB SSD,True,Laptops
LATITUDE 3301,Dell Latitude 3301,170.0,7.0,7,1BNFNW2;35LRLT2;4FKRLT2;55LRLT2;7SKRLT2;GNKRLT2;JCKRLT2,Dell,Dell 3301,i7-8565U,8GB,512GB SSD,True,Laptops
LATITUDE 5590-16G-256G-N,DELL LATITUDE 5590,200.0,5.0,5,60T1QQ2;82T1QQ2;4MWWMV2;B7H8NV2;CYPWMV2,Dell,Dell 5590,i5-8250U,16GB,256GB SSD,True,Laptops
LATITUDE E7440-16G-256G-N,Latitude E7470,0.0,1.0,1,DFDZN32,Dell,Dell 7440,i5-4310U,16GB,256GB SSD,False,Laptops
LATITUDE E7440-8G-256G-N,Latitude E7470,0.0,1.0,1,BJDZN32,Dell,Dell 7440,i5-4310U,8GB,256GB SSD,False,Laptops
LATITUDE E7470,Latitude E7470,120.0,2.0,2,64M3Q72;7213YF2,Dell,Dell E7470,i5-6200U,8GB,256GB SSD,True,Laptops
LATITUDE E7470-16G-256G-N,LATITUDE E7470,100.0,1.0,1,DFDZN32,Dell,Dell E7470,i5-6200U CPU @ 2.30GHz,16GB,256GB SSD,True,Laptops
LATITUDE E7470-8G-256G-N,LATITUDE E7470,120.0,3.0,3,BJDZN32;7213YF2;64M3Q72,Dell,Dell E7470,i5-6200U,8GB,256GB SSD,True,Laptops
OPTIPLEX 9020M,Dell Optiplex 9020M,100.0,6.0,6,9S8FR42;9W8FR42;BQWJH62;BQXHH62;BQYBH62;GV8FR42,Dell,,i5-4590T,8GB,256GB SSD,True,Laptops
T1D55PA#ABG,KBC Version 05.36,100.0,1.0,1,AUD7020F4Y,HP,KBC Version 05.36,i7-6700,8GB,256GB SSD,True,Laptops
